 Writing video to: /home/p06lab/PHYS/AnimatedDrawings/video.gif
Render time: 8.05 seconds
         3171071 function calls (2964902 primitive calls) in 8.056 seconds

   Ordered by: cumulative time
   List reduced from 5619 to 1000 due to restriction <1000>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  195/175    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        1    0.000    0.000    0.025    0.025 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/sklearn/decomposition/__init__.py:1(<module>)
        1    0.000    0.000    0.025    0.025 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/shapely/geometry/__init__.py:1(<module>)
        5    0.000    0.000    0.025    0.005 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/yaml/__init__.py:74(load)
  195/175    0.012    0.000    0.024    0.000 {built-in method _imp.exec_dynamic}
        5    0.000    0.000    0.024    0.005 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/yaml/constructor.py:47(get_single_data)
    20806    0.024    0.000    0.024    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/transform.py:75(compute_world_transform)
      128    0.000    0.000    0.024    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/sre_parse.py:937(parse)
     2339    0.001    0.000    0.023    0.000 <__array_function__ internals>:177(norm)
  505/128    0.001    0.000    0.023    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/sre_parse.py:435(_parse_sub)
        5    0.000    0.000    0.023    0.005 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/yaml/composer.py:29(get_single_node)
      169    0.001    0.000    0.023    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:683(_write_local_header)
        1    0.000    0.000    0.023    0.023 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/optimize/_minimize.py:1(<module>)
      336    0.000    0.000    0.023    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/Image.py:1302(getbbox)
  719/140    0.008    0.000    0.023    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/sre_parse.py:493(_parse)
        5    0.000    0.000    0.023    0.005 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/yaml/composer.py:50(compose_document)
    419/5    0.001    0.000    0.023    0.005 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/yaml/composer.py:63(compose_node)
     38/5    0.000    0.000    0.023    0.005 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/yaml/composer.py:117(compose_mapping_node)
      336    0.022    0.000    0.022    0.000 {method 'getbbox' of 'ImagingCore' objects}
        1    0.000    0.000    0.022    0.022 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/linalg/_sketches.py:1(<module>)
     9840    0.012    0.000    0.022    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/shapely/geometry/base.py:191(_empty)
